zip,total,grand_total,pct_total
21678,2775.46,24453.46,88.65003152928053
21679,257,21936,98.82840991976659
21701,104139.09,125840.09,17.244901843283806
21702,59244.57,80946.57,26.810277445974545
21703,28041.77,49744.770000000004,43.62870709825374
21704,22291.88,43995.880000000005,49.331891986249616
21705,1584.5,23289.5,93.19650486270638
21710,12793.66,34503.66,62.92086114922301
21711,38.5,21749.5,99.82298443642382
21713,5475.23,27188.23,79.86176371172378
21714,1572.5,23286.5,93.2471603718893
21715,965,22680,95.74514991181657
21716,5642.74,27358.739999999998,79.3750004568924
21717,732.5,22449.5,96.737121094011
21718,3694,25412,85.46356052258776
21719,25,21744,99.88502575423105
21720,60,21780,99.72451790633609
21722,851.5,22573.5,96.22787782133918
21723,367.5,22090.5,98.3363889454743
21727,4511.63,26238.63,82.80539037289675
21730,0,21730,100
21733,287,22020,98.69663941871026
21734,133,21867,99.39177756436641
21737,7322.46,29059.46,74.80180292407361
21738,15037.92,36775.92,59.1093302356542
21740,19179.42,40919.42,53.12880778857569
21741,640,22381,97.14043161610294
21742,32889.41,54631.41,39.79761825660366
21743,30,21773,99.86221466954484
21750,14904.93,36654.93,59.33717510850518
21753,216.5,21969.5,99.01454288900521
21754,19918.18,41672.18,52.20269253972314
21755,8883.94,30638.940000000002,71.00441464358754
21756,9968.27,31724.27,68.57841015727075
21757,875.7,22632.7,96.13081956637961
21758,7459.4,29217.4,74.46932307460622
21762,740,22502,96.71140343080616
21765,675.3,22440.3,96.99068194275478
21767,302,22069,98.63156463818027
21768,42.5,21810.5,99.80513972627863
21769,18807.57,40576.57,53.64918720335405
21770,7734.59,29504.59,73.78512970354782
21771,27485.39,49256.39,44.19934144585099
21773,7998.66,29771.66,73.13330865662176
21774,14034.81,35808.81,60.806265273825076
21775,110,21885,99.49737262965502
21776,4971.74,26747.739999999998,81.41248569037984
21777,2415.7,24192.7,90.01475651746188
21778,581.5,22359.5,97.39931572709587
21779,4644.86,26423.86,82.42172036939341
21780,1868,23648,92.10081190798375
21781,105,21886,99.52024125011422
21782,2529.42,24311.42,89.595753765103
21783,8533.64,30316.64,71.85162999593622
21784,75000.46,96784.46,22.507745561632518
21787,2933.7,24720.7,88.13261760387043
21788,23259.35,45047.35,48.36688506649115
21791,5826.79,27617.79,78.9020410394894
21792,185,21977,99.15821085680484
21793,19038.67,40831.67,53.37278636901209
21794,5176.07,26970.07,80.808095789147
21795,4091.77,25886.77,84.19358614458274
21797,34859.72,56656.72,38.472047093442754
21798,3328.34,25126.34,86.75358209751202
21801,24053.25,45854.25,47.54412077397406
21802,438.22,22240.22,98.02960582224456
21804,29030.13,50834.130000000005,42.89244253811366
21806,30,21836,99.86261220003664
21811,58201.62,80012.62,27.259449821790614
21812,12.37,21824.37,99.9433202424629
21813,3459.72,25272.72,86.3104564922177
21814,601.82,22415.82,97.31519971163223
21816,864,22680,96.19047619047619
21817,928.54,22745.54,95.91770518528028
21821,800.42,22621.42,96.4616721673529
21822,1130.89,22952.89,95.0729951653147
21824,213,22037,99.03344375368698
21826,1614.72,23440.72,93.11147439157158
21830,1502.5,23332.5,93.56048430301082
21835,20,21855,99.90848776023793
21837,412.5,22249.5,98.1460257533877
21838,817.8,22655.8,96.39032830445184
21840,1351,23191,94.17446423181407
21841,182.5,22023.5,99.17133970531478
21842,11196.53,33038.53,66.11068954944425
21843,963.26,22806.26,95.77633509396105
21849,916.42,22765.42,95.97450870662611
21850,412,22262,98.14931273021293
21851,3100.82,24951.82,87.57277024281194
21853,1125.07,22978.07,95.10372281048843
21856,491.5,22347.5,97.80064884215237
21861,50,21911,99.77180411665374
21863,4112.72,25975.72,84.16706062430607
21864,298,22162,98.6553560148001
21865,1160.4,23025.4,94.96034813727448
21867,38.5,21905.5,99.82424505261235
21869,447.1,22316.1,97.99651372775709
21871,349.5,22220.5,98.42712810242794
21872,163.5,22035.5,99.25801547502893
21874,313,22187,98.58926398341372
21875,5155.56,27030.56,80.92692123285644
21884,50,21934,99.77204340293608
21901,10491.42,32392.42,67.61149676374906
21902,50,21952,99.7722303206997
21903,5756.78,27659.78,79.18718080910261
21904,3114.92,25018.92,87.54974235498575
21911,4427.14,26338.14,83.19114409749511
21912,1775.5,23687.5,92.50448548812665
21913,913,22826,96.00017523876282
21914,1150,23064,95.01387443635102
21915,2856.96,24771.96,88.46696022438273
21916,24,21940,99.89061075660894
21917,2447.5,24364.5,89.95464713004576
21918,1089.7,23007.7,95.26375952398544
21919,3280.2,25199.2,86.98292009270135
21920,52.5,21972.5,99.7610649675731
21921,23156.18,45077.18,48.629927604166895
21922,780,22702,96.56417936745662
21924,14,21938,99.93618379068283
21931,10.8,21941.8,99.95077887866995
21943,16.5,21959.5,99.92486167717844
21965,60,22025,99.72758229284904
21975,60,22035,99.7277059223962
